DateTime,Year,DoY,Hour,FCH4,NEE,LE,H,Ustar,Rg,Tair,Tsoil5cm,Tsoil10cm,Tsoil50cm,rH,VPD,Pa,WTH,LWOUT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Day,c,s
2017-06-01 0:00,2017,152,0,NA,1.031242,1.280465,1.54761,0.0808,0,14.66,17.67,17.18,14.31,96.53,0.5784662,1009.6,37.83953,389.36,-0.3961772,-1.856745,-0.8467323,-0.3558202,-0.3359732,-1.01164,1.313106,-0.03497353,0.1626435,-0.1239789,0.2111639,-0.1595189,0.07427086,0.005021495,152,-0.856551,0.5160624
2017-06-01 0:30,2017,152,0.5,NA,1.077208,4.892282,-5.885134,0.0427,0,14.47,17.63,17.18,14.3,96.87,0.5154224,1009.55,38.64911,388.86,-0.5085876,-1.964397,-0.7547132,-0.2875869,-0.6326908,-0.9867391,1.423958,-0.02341475,0.1016179,-0.05257958,0.2464527,-0.09683081,0.08788364,0.007237965,152.0208,-0.856736,0.5157552
2017-06-01 1:00,2017,152,1,NA,1.126142,4.880318,-5.635435,0.0517,0,14.41,17.63,17.16,14.3,97.09,0.4773394,1009.5,39.46047,388.36,-0.5117493,-1.945024,-0.7883247,-0.2995841,-0.5513142,-0.9877551,1.41837,-0.02700572,0.09087401,-0.0591262,0.2435523,-0.09815814,0.08334094,0.004080543,152.0417,-0.8569209,0.5154479
2017-06-01 1:30,2017,152,1.5,NA,4.270399,4.730999,2.17383,0.0797,0,14.15,17.59,17.15,14.32,97.13,0.462921,1009.5,40.22023,386.58,-0.7251235,-2.112431,-1.149723,0.5310537,0.1794049,-0.5394356,2.090701,-0.1590874,0.1112698,-0.1468174,0.2129938,-0.1747839,0.06212741,0.01278897,152.0625,-0.8571057,0.5151405
2017-06-01 2:00,2017,152,2,NA,0.8650393,4.684199,-5.401412,0.0599,0,13.97,17.57,17.15,14.32,97.29,0.4320413,1009.5,40.72383,385.12,-0.5327897,-1.888038,-0.770971,-0.4047539,-0.5192244,-1.021513,1.332127,-0.07245842,0.04577715,-0.08135382,0.2372289,-0.0912608,0.06403143,0.006643721,152.0833,-0.8572904,0.5148331
2017-06-01 2:30,2017,152,2.5,NA,0.7841588,4.075685,-2.78537,0.1208676,0,13.31,17.54,17.14,14.32,97.09,0.4444277,1009.55,40.92498,382.21,-0.4637133,-1.69947,-0.9107209,-0.5186192,-0.04280646,-1.069183,1.130836,-0.139074,-0.02431578,-0.136011,0.1934556,-0.1033083,0.06670429,0.006876754,152.1042,-0.857475,0.5145256
2017-06-01 3:00,2017,152,3,NA,1.056164,-0.1809341,-2.390655,0.0924,0,13.09,17.51,17.13,14.19,97.07,0.4411012,1009.6,40.72155,380.41,-0.5926382,-1.789824,-0.8443918,-0.4034206,-0.2176384,-1.001601,1.248331,-0.1792058,0.03490361,-0.1728991,0.1677602,-0.08901781,0.05917619,0.01223414,152.125,-0.8576595,0.5142181
2017-06-01 3:30,2017,152,3.5,NA,1.086812,4.06836,-3.055409,0.0843,0,12.96,17.48,17.11,14.15,97.09,0.434383,1009.7,40.22875,378.42,-0.6168048,-1.784523,-0.8045496,-0.3812261,-0.2767261,-0.9742107,1.284992,-0.1918453,-0.02684371,-0.1352478,0.1624521,-0.08833698,0.03210705,0.0130353,152.1458,-0.8578438,0.5139105
2017-06-01 4:00,2017,152,4,NA,0.655946,4.079558,-3.218819,0.0792,0,12.77,17.45,17.11,14.15,97.19,0.4142714,1009.8,39.67129,377.28,-0.6113655,-1.756485,-0.7288706,-0.5025417,-0.3777761,-1.020254,1.195096,-0.1981372,-0.04376312,-0.1353355,0.1600677,-0.08145944,0.02874439,0.01507126,152.1667,-0.8580281,0.5136028
2017-06-01 4:30,2017,152,4.5,NA,1.802496,0.6537314,-7.674305,0.1393801,2.86,12.97,17.4,17.09,14.15,96.9,0.4630475,1010,39.10394,377.23,-0.6238301,-1.733685,-1.006379,-0.2130817,0.2859903,-0.952597,1.239954,-0.1908623,-0.03608618,-0.1623922,0.1596801,-0.0337948,0.01960346,0.01805164,152.1875,-0.8582122,0.513295
